ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test,loss_test_base_learner
12,400,0.001,[12],0.1419013924896717,0.0017734543653205037,0.05420194938778877
13,200,0.001,[2],0.3013183455914259,0.005853156093508005,0.12127596884965897
13,200,0.001,"[2, 2, 2]",0.3693467155098915,0.008323915302753448,0.15723909437656403
13,200,0.001,"[2, 2, 2, 2, 2, 2]",0.4829588830471039,0.003907519392669201,0.22625064849853516
13,200,0.001,[6],0.24232464097440243,0.004164387006312609,0.06809085607528687
13,200,0.001,[12],0.3401733562350273,0.0014804905513301492,0.04458536207675934
13,400,0.001,[2],0.21693457663059235,0.006309685297310352,0.1284761279821396
13,400,0.001,"[2, 2, 2]",0.4051733538508415,0.025069331750273705,0.1468651443719864
13,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23088215291500092,0.003542598569765687,0.19599305093288422
13,400,0.001,[6],0.3226202577352524,0.004444669932126999,0.08537639677524567
13,400,0.001,[12],0.13164107408374548,0.0017760974587872624,0.03808286041021347
14,200,0.001,[2],0.43486664444208145,0.007088278885930777,0.22525575757026672
14,200,0.001,"[2, 2, 2]",0.28208208829164505,0.022552356123924255,0.17890514433383942
14,200,0.001,"[2, 2, 2, 2, 2, 2]",0.28570742160081863,0.0019993348978459835,0.20157194137573242
14,200,0.001,[6],0.31601036339998245,0.003173316828906536,0.0625554695725441
14,200,0.001,[12],0.1189721804112196,0.0010152446338906884,0.04213503748178482
14,400,0.001,[2],0.313188336789608,0.007589353248476982,0.12274341285228729
14,400,0.001,"[2, 2, 2]",0.1407711342908442,0.010348336771130562,0.13743121922016144
14,400,0.001,"[2, 2, 2, 2, 2, 2]",0.29455143213272095,0.005820794031023979,0.1897280514240265
14,400,0.001,[6],0.10564418882131577,0.003262466751039028,0.06371726095676422
14,400,0.001,[12],0.3512134253978729,0.0013930879067629576,0.03977921977639198
15,200,0.001,[2],0.4591444134712219,0.008160731755197048,0.20900389552116394
15,200,0.001,"[2, 2, 2]",0.15297377482056618,0.009616868570446968,0.16119058430194855
15,200,0.001,"[2, 2, 2, 2, 2, 2]",0.21540186926722527,0.005923958495259285,0.23174309730529785
15,200,0.001,[6],0.19195981696248055,0.0032825942616909742,0.062279995530843735
15,200,0.001,[12],0.6946433037519455,0.0008783105295151472,0.04968228191137314
15,400,0.001,[2],0.16789333010092378,0.006580343469977379,0.10683529078960419
15,400,0.001,"[2, 2, 2]",0.40074143558740616,0.02222275733947754,0.17306359112262726
15,400,0.001,"[2, 2, 2, 2, 2, 2]",0.222064770758152,0.0032610443886369467,0.19700583815574646
15,400,0.001,[6],0.11534246802330017,0.004883169196546078,0.06323517858982086
15,400,0.001,[12],0.24237940274178982,0.0013007275993004441,0.03703689202666283
16,200,0.001,[2],0.5713547542691231,0.006061588414013386,0.12984095513820648
16,200,0.001,"[2, 2, 2]",0.29372720420360565,0.006693615578114986,0.1703108698129654
16,200,0.001,"[2, 2, 2, 2, 2, 2]",0.1609847266227007,0.006857856642454863,0.17687106132507324
16,200,0.001,[6],0.9616028815507889,0.00299102277494967,0.09524854272603989
16,200,0.001,[12],0.260720357298851,0.0012472353409975767,0.044480759650468826
16,400,0.001,[2],0.45806290209293365,0.0071130055002868176,0.11210035532712936
16,400,0.001,"[2, 2, 2]",0.5770154595375061,0.015870774164795876,0.15683124959468842
16,400,0.001,"[2, 2, 2, 2, 2, 2]",0.17786761932075024,0.012051044963300228,0.19375412166118622
16,400,0.001,[6],0.46127405762672424,0.0031905770301818848,0.057157885283231735
16,400,0.001,[12],0.4446587711572647,0.0013470615958794951,0.06054476276040077
