correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,evolution_epoch,max_fitness,average_loss_train_neat_ncl,average_loss_test_neat_ncl,average_loss_train_static_ncl,average_loss_test_static_ncl,average_loss_train_traditional,average_loss_test_traditional,average_loss_train_mlp,average_loss_test_mlp,diversity_coefficient_train_neat_ncl,diversity_coefficient_test_neat_ncl,diversity_coefficient_train_static_ncl,diversity_coefficient_test_static_ncl,diversity_coefficient_train_traditional,diversity_coefficient_test_traditional
0.25,4,100,0.001,170,10.0,309.98728434244794,291.6775817871094,8.223815759023031,9.268827438354492,8.742046276728312,8.8411283493042,6.700493494669597,8.61509370803833,85.30261993408203,85.30261993408203,0.9084508419036865,0.7723143696784973,0.7830557823181152,0.8175923824310303
0.25,4,100,0.001,170,30.0,298.0185038248698,277.7002716064453,8.931180953979492,11.689196348190308,9.617537180582682,8.374043464660645,9.765021880467733,10.281063079833984,41.82854080200195,41.82854080200195,0.3855968415737152,0.3538820445537567,0.23298367857933044,0.18774735927581787
0.25,4,100,0.001,170,50.0,401.5362955729167,395.4165344238281,9.759378592173258,9.81517744064331,7.904263496398926,9.813485622406006,9.91477862993876,8.781926155090332,12.748589515686035,12.748583793640137,0.3804115056991577,0.39234617352485657,1.1030696630477905,0.9734073877334595
0.5,2,100,0.001,110,10.0,393.78501383463544,359.68238830566406,9.441727876663208,10.737786769866943,9.426401058832804,9.252997398376465,8.738242387771606,9.11560869216919,23.324079513549805,23.32408332824707,0.37911978363990784,0.40602394938468933,0.5680966973304749,0.46467262506484985
0.5,2,100,0.001,110,30.0,172.13270060221353,154.29891967773438,10.076130151748657,11.26023006439209,9.186158021291098,8.977078437805176,7.916087468465169,7.785297632217407,299.7832946777344,299.7832946777344,0.4742102324962616,0.4913295805454254,0.3640865087509155,0.31109583377838135
0.5,2,100,0.001,110,50.0,433.0644989013672,405.76625061035156,8.180931170781454,10.217505931854248,8.622388998667398,7.422037482261658,8.782647927602133,10.886460304260254,3.3983519077301025,3.3983519077301025,1.1133970022201538,1.0060709714889526,0.2614798843860626,0.22283203899860382
0.5,2,100,0.001,140,10.0,478.96070861816406,461.9273681640625,8.65116818745931,10.380353927612305,9.709806601206461,10.61998462677002,8.014666398366293,9.579719543457031,0.7532461285591125,0.7532460689544678,0.556861162185669,0.532343327999115,0.6359077095985413,0.5434046983718872
0.5,2,100,0.001,140,30.0,103.3909543355306,89.78784561157227,7.8742393255233765,8.463646173477173,7.899197578430176,9.345931053161621,8.131671269734701,10.673025131225586,405.0859069824219,405.0859069824219,1.6722519397735596,1.4564828872680664,0.3628787696361542,0.30087101459503174
0.5,2,100,0.001,140,50.0,58.84853299458822,52.625675201416016,8.634976545969645,8.995002508163452,8.778749068578085,9.708099365234375,7.208574692408244,11.357023477554321,156.4534149169922,156.4534149169922,0.6606994867324829,0.43480736017227173,0.773151159286499,0.5790968537330627
0.5,2,100,0.001,170,10.0,124.81133524576823,115.1914176940918,8.449221531550089,11.886859655380249,8.398249089717865,9.82068681716919,8.481051603953043,9.997754096984863,282.6172180175781,276.4078369140625,0.7223045825958252,0.4657449424266815,0.7755552530288696,0.8017628788948059
0.5,2,100,0.001,170,30.0,41.773332595825195,33.59388256072998,10.34493907292684,11.183238506317139,8.834552844365438,9.390167236328125,10.231449286142984,11.223732471466064,139.20556640625,139.20558166503906,0.3966164290904999,0.34320804476737976,0.43154582381248474,0.3300970792770386
0.5,2,100,0.001,170,50.0,24.75517193476359,17.651750087738037,8.453205744425455,9.822698593139648,8.855864604314169,11.428655862808228,10.3285018603007,10.963876724243164,369.1866760253906,369.18670654296875,0.7957872748374939,0.6764507293701172,0.7307100296020508,0.7676852941513062
0.5,4,100,0.001,110,10.0,183.39928436279297,170.45471954345703,8.522464990615845,9.50925874710083,9.672045787175497,9.1519775390625,10.192396322886148,8.351870059967041,209.60556030273438,209.6054229736328,0.5015287399291992,0.36367589235305786,1.1142431497573853,1.0619391202926636
0.5,4,100,0.001,110,30.0,127.6778170267741,108.60093307495117,7.488791386286418,7.514099597930908,8.321479161580404,7.5291101932525635,7.876724402109782,8.454088687896729,315.0733947753906,315.0733642578125,1.029789924621582,0.9875426888465881,0.5696556568145752,0.555153489112854
0.5,4,100,0.001,110,50.0,62.00183232625326,58.973806381225586,9.842374642690023,11.874294757843018,8.044687986373901,9.477195262908936,10.80283029874166,9.619572639465332,134.06057739257812,134.06301879882812,0.8367196917533875,0.8406071066856384,0.521918773651123,0.4689364433288574
0.5,4,100,0.001,140,10.0,161.19696299235025,149.0990753173828,7.50312598546346,10.791040420532227,7.652270396550496,8.62036418914795,7.709676782290141,8.449873924255371,411.2537536621094,411.2538757324219,1.027239203453064,1.017769694328308,0.6793564558029175,0.6602708697319031
0.5,4,100,0.001,140,30.0,360.6861114501953,352.0193328857422,8.518957455952963,10.004011631011963,8.136346181233725,10.096376895904541,7.569727341334025,10.256502866744995,22.002546310424805,22.00255012512207,0.6729714274406433,0.540461003780365,0.7389754056930542,0.7913658618927002
0.5,4,100,0.001,140,50.0,98.92473856608073,107.48022079467773,8.247127771377563,9.399346351623535,8.32507332166036,8.318511247634888,9.039161443710327,11.22632884979248,273.2790222167969,273.279052734375,0.47531306743621826,0.443952739238739,0.43195345997810364,0.3963228166103363
