correlation_penalty_coefficient,ensemble_size,epoch_num,learning_rate,hidden_size,loss_test,diversity_coefficient_test
0.1,2,400,0.001,[6],0.3938840664923191,0.0011275880970060825
0.1,2,400,0.001,[12],0.18221272621303797,0.002803541487082839
0.1,3,400,0.001,[2],0.7454063892364502,0.006225250661373138
0.1,3,400,0.001,"[2, 2, 2]",1.0459412634372711,0.0331743098795414
0.1,3,400,0.001,"[2, 2, 2, 2, 2, 2]",0.63055020570755,0.007422294467687607
0.1,3,400,0.001,[6],0.1492674369364977,0.0047966972924768925
0.1,3,400,0.001,[12],0.875307708978653,0.0010502540972083807
0.1,4,400,0.001,[2],0.5427927002310753,0.005909133702516556
0.1,4,400,0.001,"[2, 2, 2]",0.26557382568717003,0.012127219699323177
0.1,4,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3651271462440491,0.006780638359487057
0.1,4,400,0.001,[6],0.2747376002371311,0.002023143693804741
0.1,4,400,0.001,[12],0.47461649030447006,0.0010015552397817373
0.1,5,400,0.001,[2],0.8381340205669403,0.010514884255826473
0.1,5,400,0.001,"[2, 2, 2]",0.19294530898332596,0.014872688800096512
0.1,5,400,0.001,"[2, 2, 2, 2, 2, 2]",0.23435318376868963,0.00631663016974926
0.1,5,400,0.001,[6],0.9234334379434586,0.004194741137325764
0.1,5,400,0.001,[12],0.4453573636710644,0.001208484056405723
0.1,6,400,0.001,[2],0.1582609424367547,0.008993462659418583
0.1,6,400,0.001,"[2, 2, 2]",0.1136006130836904,0.016744229942560196
0.1,6,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3448345884680748,0.00729041313752532
0.1,6,400,0.001,[6],0.1427886076271534,0.004856712184846401
0.1,6,400,0.001,[12],0.34565920382738113,0.0011836523190140724
0.1,7,400,0.001,[2],0.16930081695318222,0.007105930708348751
0.1,7,400,0.001,"[2, 2, 2]",0.2960188239812851,0.011518152430653572
0.1,7,400,0.001,"[2, 2, 2, 2, 2, 2]",0.2848828285932541,0.004336030688136816
0.1,7,400,0.001,[6],0.748811274766922,0.005456053651869297
0.1,7,400,0.001,[12],0.5603099539875984,0.001973643433302641
0.1,8,400,0.001,[2],0.43977394700050354,0.00772795220836997
0.1,8,400,0.001,"[2, 2, 2]",0.2629810906946659,0.009299739263951778
0.1,8,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3124939650297165,0.0034346485044807196
0.1,8,400,0.001,[6],0.7771156877279282,0.005336531437933445
0.1,8,400,0.001,[12],0.39078622683882713,0.0019081291975453496
0.1,9,400,0.001,[2],0.3771854639053345,0.007385842967778444
0.1,9,400,0.001,"[2, 2, 2]",0.2500653862953186,0.010479751974344254
0.1,9,400,0.001,"[2, 2, 2, 2, 2, 2]",0.4980630427598953,0.0035661053843796253
0.1,9,400,0.001,[6],0.34356869012117386,0.004137678071856499
0.1,9,400,0.001,[12],0.16877161152660847,0.001702295383438468
0.1,10,400,0.001,[2],0.262056365609169,0.006404239684343338
0.1,10,400,0.001,"[2, 2, 2]",0.32247069105505943,0.009786396287381649
0.1,10,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3876478597521782,0.0024363442789763212
0.1,10,400,0.001,[6],0.22964990139007568,0.0039612771943211555
0.1,10,400,0.001,[12],0.4855920076370239,0.00255814497359097
0.1,11,400,0.001,[2],0.4213153272867203,0.008170697838068008
0.1,11,400,0.001,"[2, 2, 2]",0.25455908104777336,0.011348411440849304
0.1,11,400,0.001,"[2, 2, 2, 2, 2, 2]",0.45205478370189667,0.0029265661723911762
0.1,11,400,0.001,[6],0.47944335639476776,0.004502654541283846
0.1,11,400,0.001,[12],0.5887163132429123,0.0019020583713427186
0.1,12,400,0.001,[2],0.43687042221426964,0.008539482951164246
0.1,12,400,0.001,"[2, 2, 2]",0.25074394792318344,0.02017715573310852
0.1,12,400,0.001,"[2, 2, 2, 2, 2, 2]",0.3911348804831505,0.002679983153939247
0.1,12,400,0.001,[6],0.47798021137714386,0.00298405927605927
